id,Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,comments,mental_health_consequence
M262,27,Male,Canada,NA,No,No,No,Sometimes,Jun-25,Yes,No,No,Yes,No,No,No,Very difficult,Yes,Some of them,Some of them,No,Maybe,No,No,NA,Yes
M263,30,Male,United States,FL,No,No,Yes,Sometimes,100-500,Yes,No,Yes,Yes,No,Yes,Yes,Don't know,No,Yes,Yes,Maybe,No,Yes,No,NA,Yes
M264,29,male,Poland,NA,No,Yes,Yes,Rarely,Jun-25,No,No,No,Yes,No,No,Yes,Very difficult,No,Some of them,Some of them,No,Yes,No,No,NA,Yes
M265,43,Male,Canada,NA,Yes,Yes,No,NA,Jun-25,Yes,No,No,Not sure,No,No,Don't know,Somewhat easy,No,Yes,Yes,Yes,Yes,Don't know,No,NA,Yes
M266,32,male,United States,NV,No,No,No,NA,Jun-25,No,Yes,No,Yes,No,Don't know,Don't know,Very easy,No,Some of them,Yes,No,Maybe,Don't know,No,NA,Yes
M267,41,Male,United States,AL,No,No,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Don't know,No,Don't know,Very easy,No,Yes,Yes,Yes,Yes,Yes,No,I think I am very lucky in my workplace. Our CEO has a degree in psychology.,Yes
M268,32,Male,United Kingdom,NA,Yes,Yes,Yes,Sometimes,01-May,Yes,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,Maybe,Yes,Some of them,Maybe,Maybe,Don't know,Yes,Some of these questions were difficult to answer as being self-employed they didn't all apply to me.,Yes
M269,37,Female,United States,CA,No,Yes,Yes,Often,26-100,No,Yes,Yes,Yes,No,No,Yes,Don't know,No,Some of them,Some of them,No,Yes,Don't know,No,NA,Yes
M270,32,Male,United States,CO,No,No,No,Never,Jun-25,Yes,Yes,No,No,No,No,Don't know,Very easy,No,Yes,Yes,No,No,Don't know,No,NA,Yes
M271,30,Male,Ireland,NA,Yes,No,No,Sometimes,01-May,Yes,Yes,No,No,No,No,Don't know,Somewhat difficult,No,Some of them,Some of them,No,Maybe,No,No,NA,Yes
M272,23,female,United States,MN,No,Yes,Yes,Never,100-500,No,No,Yes,No,Don't know,Don't know,Yes,Don't know,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA,No
M273,30,Male,United States,NJ,No,Yes,No,NA,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,No,No,Yes,No,NA,No
M274,34,male,United Kingdom,NA,No,Yes,No,Sometimes,26-100,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Yes,Some of them,No,No,Don't know,No,NA,No
M275,38,Male,United States,PA,No,Yes,Yes,Rarely,26-100,Yes,Yes,Yes,No,No,No,Don't know,Don't know,No,No,No,No,Maybe,No,No,NA,Yes
M276,33,Male,Canada,NA,No,Yes,No,NA,100-500,No,Yes,Yes,No,Yes,Yes,Yes,Don't know,No,Some of them,Yes,No,No,Don't know,No,NA,Yes
M277,34,male,United States,MO,No,No,No,NA,26-100,No,No,Yes,No,No,No,Don't know,Don't know,No,Some of them,No,No,No,Don't know,No,NA,Yes
M278,28,male,Colombia,NA,No,No,No,Sometimes,Jun-25,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,No,Some of them,No,No,Don't know,No,NA,Yes
M279,28,male,United States,MN,No,No,Yes,Rarely,100-500,No,No,Yes,Yes,Yes,Don't know,Don't know,Very easy,No,Some of them,Some of them,No,No,Yes,No,NA,Yes
M280,23,Male,United States,PA,No,Yes,No,Sometimes,100-500,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,Some of them,No,No,Maybe,No,No,NA,No
M281,22,Male,Australia,NA,Yes,Yes,Yes,Sometimes,Jun-25,Yes,Yes,Don't know,Not sure,Yes,Yes,Don't know,Somewhat easy,No,Some of them,Yes,No,Yes,No,Yes,NA,No
M282,27,male,Portugal,NA,No,No,No,Never,Jun-25,No,Yes,No,No,No,No,Yes,Don't know,No,No,No,No,Maybe,Don't know,No,It's a small startup in a small city in a small country.,Yes
M283,18,male,United States,TX,No,No,Yes,Sometimes,Jun-25,No,Yes,Don't know,No,No,Don't know,Don't know,Don't know,No,No,No,No,Maybe,Don't know,No,NA,Yes
M284,35,male,United States,NY,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,No,No,Some of them,No,Maybe,Don't know,No,NA,Yes
M285,25,Male,Canada,NA,No,No,No,NA,100-500,No,No,Don't know,Not sure,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Yes,No,No,NA,Yes
M286,27,Male,United Kingdom,NA,No,Yes,Yes,Sometimes,Jun-25,No,Yes,No,No,No,No,Yes,Somewhat easy,Maybe,Yes,Yes,Yes,Yes,Yes,No,Hi Ed it's Paul Dragoonis. I have Aspergers/High Functioning Autism :-),Yes
M287,26,Female,United States,WA,No,Yes,Yes,Rarely,More than 1000,No,Yes,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,No,Don't know,No,NA,Yes
M288,18,Male,United States,WA,No,No,No,Never,26-100,No,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,No,Some of them,Some of them,No,Maybe,Yes,No,NA,Yes
M289,38,Female,United States,TX,No,No,Yes,Sometimes,01-May,No,Yes,No,Yes,No,No,Don't know,Don't know,Maybe,Some of them,No,No,No,Don't know,Yes,The form of mental health problem that I suffer is anxiety.,Yes
M290,26,Female,United States,TX,No,Yes,Yes,Rarely,More than 1000,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,Somewhat easy,No,Some of them,No,No,No,Don't know,No,NA,No
M291,30,Male,Switzerland,NA,Yes,No,No,Never,01-May,No,Yes,No,No,No,No,No,Somewhat easy,No,Yes,Yes,No,No,Yes,No,NA,No
M292,35,male,United States,CA,No,No,No,Never,More than 1000,No,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,No,Don't know,No,NA,Yes
M293,45,male,United States,NY,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes,Don't know,Don't know,Yes,Don't know,No,Some of them,Some of them,No,Maybe,Don't know,No,NA,Yes
M294,32,Male,United States,CA,No,Yes,No,Never,More than 1000,No,No,Yes,No,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,No,Don't know,No,NA,Yes
M295,56,Male,United States,NA,No,Yes,Yes,Never,More than 1000,No,No,Yes,Not sure,Don't know,Don't know,Don't know,Don't know,Maybe,Yes,Some of them,No,Maybe,Don't know,No,NA,Yes
M296,24,Female,United States,CA,No,No,No,NA,500-1000,No,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,Maybe,No,No,NA,Yes
M297,30,F,United States,SC,No,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,Yes,Don't know,Don't know,Very easy,No,Yes,Yes,No,Yes,Yes,No,NA,Yes
M298,60,male,United States,CA,No,No,No,NA,More than 1000,No,No,Yes,No,Don't know,Yes,Don't know,Don't know,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA,No
M299,33,Male,United States,CA,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,No,Yes,Yes,Don't know,Don't know,No,No,No,No,Maybe,Don't know,No,NA,Yes
M300,37,M,United States,NY,No,Yes,No,Never,More than 1000,No,No,Yes,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,Maybe,Maybe,Don't know,No,NA,Yes
M301,23,Female,United States,NY,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Don't know,Don't know,No,Some of them,Some of them,No,No,Yes,No,NA,Yes
M302,31,f,United States,CA,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Not sure,Don't know,Don't know,Yes,Somewhat easy,No,Yes,Yes,No,No,Yes,No,NA,No
M303,26,Male,United States,MA,No,No,No,Rarely,100-500,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Maybe,Don't know,No,NA,No
M304,28,female,United States,WA,No,Yes,Yes,Often,100-500,Yes,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,No,No,Yes,No,NA,Yes
M305,37,F,United States,CA,No,No,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,Don't know,Yes,Don't know,Somewhat easy,No,Some of them,Yes,No,No,Yes,No,NA,Yes
M306,26,male,Canada,NA,No,Yes,Yes,Often,Jun-25,No,No,Yes,No,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,Maybe,Maybe,Yes,No,NA,Yes
M307,30,queer/she/they,United States,IL,No,Yes,Yes,Rarely,26-100,No,No,Yes,Not sure,No,No,Don't know,Somewhat easy,No,Some of them,Yes,No,No,Don't know,No,NA,Yes
M308,26,M,United States,IN,No,Yes,No,NA,26-100,No,No,No,No,No,No,Don't know,Don't know,No,Some of them,Some of them,No,No,Don't know,Yes,NA,Yes
M309,25,Male,United States,OR,No,Yes,No,NA,26-100,Yes,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,No,Don't know,No,NA,No
M310,27,Male,United States,TN,No,Yes,No,Sometimes,100-500,No,Yes,Yes,Not sure,Yes,Yes,Don't know,Don't know,No,Some of them,Yes,No,Maybe,Don't know,No,The thought of going through my employer directly to get help is fucking scary.Getting help is the hardest part of getting help.,No
M311,25,Male,Canada,NA,No,Yes,Yes,Often,Jun-25,Yes,No,Don't know,No,No,Don't know,Don't know,Somewhat difficult,Maybe,No,No,No,Maybe,Don't know,No,NA,Yes
M312,35,male,United States,OR,No,No,Yes,Rarely,100-500,No,Yes,Yes,Not sure,Don't know,Yes,Don't know,Don't know,No,Some of them,Yes,No,No,Don't know,No,NA,No
M313,36,Male,United States,WA,Yes,No,Yes,Never,01-May,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,No,Some of them,Yes,No,No,Yes,No,NA,No
M314,26,Male,United States,CA,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,No,No,No,No,No,NA,Yes
M315,27,Male,United States,CA,No,Yes,No,NA,More than 1000,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,Yes,Yes,Maybe,Maybe,Yes,No,Don't know because I haven't checked not because it's difficult to find out. If you didn't have the don't know option I would've looked up the answer.,Yes
M316,30,male,United States,VT,No,Yes,No,NA,Jun-25,No,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,Maybe,Some of them,Some of them,No,No,Don't know,No,NA,Yes
M317,29,M,United States,NY,No,Yes,No,NA,100-500,No,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,No,No,No,Maybe,Don't know,No,NA,Yes
M318,25,Male,United States,UT,No,No,No,Never,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA,Yes
M319,22,Female,United States,NY,No,Yes,Yes,Often,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,No,No,Yes,Yes,NA,No
M320,29,male,Latvia,NY,No,No,No,NA,26-100,No,Yes,No,Yes,No,No,Don't know,Somewhat easy,Maybe,Some of them,Some of them,No,No,Don't know,No,NA,No
M321,41,Male,United States,SD,No,Yes,Yes,Rarely,100-500,Yes,Yes,Yes,Yes,Don't know,Yes,Yes,Somewhat easy,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA,No
M322,29,Male,United States,CA,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,No,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,Maybe,No,No,NA,Yes
M323,32,Male,United States,OR,No,No,No,Never,500-1000,No,No,Yes,Not sure,Don't know,Yes,Yes,Somewhat easy,No,Some of them,Yes,Maybe,Maybe,Yes,No,NA,Yes
M324,24,female,United States,CA,No,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Yes,No,Yes,Yes,Don't know,No,Some of them,No,No,Maybe,Don't know,No,NA,Yes
M325,25,Male,United States,CA,No,Yes,Yes,Rarely,Jun-25,No,No,Yes,No,Don't know,No,Don't know,Don't know,No,No,No,No,No,Don't know,No,NA,Yes
M326,25,m,United States,CA,No,No,No,NA,More than 1000,No,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,No,No,No,Maybe,Don't know,No,NA,Yes
M327,30,Female,United States,CO,No,No,No,Never,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,No,Some of them,No,No,Don't know,No,NA,Yes
M328,25,Male,United States,CA,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Don't know,Not sure,Don't know,Yes,Don't know,Don't know,No,Yes,Yes,No,No,Yes,No,NA,Yes
M329,30,Male,United States,OH,Yes,No,No,Never,01-May,Yes,Yes,No,Yes,No,No,Don't know,Don't know,No,Some of them,Some of them,No,Maybe,Don't know,No,NA,No
M330,33,male,Germany,NA,Yes,Yes,Yes,Rarely,01-May,No,No,No,No,No,No,Don't know,Somewhat difficult,Yes,No,No,Maybe,No,Yes,Yes,NA,Yes
M331,24,Male,United States,WA,No,No,No,NA,26-100,No,Yes,Yes,Not sure,Yes,Yes,Yes,Very easy,No,Some of them,Some of them,No,Maybe,Yes,No,NA,No
M332,25,Male,Canada,NA,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,Some of them,No,No,No,No,No,NA,Yes
M333,31,Male,United States,OH,No,Yes,No,NA,100-500,No,No,Don't know,No,No,No,Yes,Somewhat easy,No,No,No,No,Yes,No,No,NA,Yes
M334,45,Male,Ireland,NA,Yes,Yes,Yes,Often,01-May,No,Yes,No,No,No,No,Don't know,Very difficult,No,No,No,No,No,Don't know,No,NA,Yes
M335,29,m,Romania,NA,No,Yes,No,NA,Jun-25,Yes,No,No,Yes,No,No,Don't know,Don't know,Maybe,Some of them,Some of them,Maybe,Maybe,No,No,NA,Yes
M336,46,M,United States,WA,No,Yes,No,Never,26-100,No,Yes,Yes,Not sure,Yes,Don't know,Don't know,Very easy,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,NA,No
M337,30,Male,United Kingdom,NA,No,Yes,Yes,Sometimes,26-100,No,No,Don't know,No,No,Don't know,Don't know,Don't know,Maybe,No,No,No,Maybe,Don't know,No,NA,Yes
M338,29,F,United States,CA,Yes,Yes,Yes,Sometimes,More than 1000,No,No,Yes,Not sure,Don't know,No,Don't know,Very easy,Maybe,Some of them,Some of them,No,No,Don't know,No,NA,Yes
M339,24,Male,United States,MA,No,Yes,Yes,NA,More than 1000,No,No,Yes,Yes,Don't know,Don't know,Yes,Don't know,No,No,No,No,Maybe,Don't know,No,I think there might be some bugs in my thought but I haven't sought treatment because they're not worse than annoying and I worry about having the label.,Yes
M340,29,male,United States,WA,No,No,Yes,NA,26-100,No,Yes,Yes,Yes,Yes,Yes,Yes,Very easy,No,Some of them,Yes,No,Maybe,Yes,No,I think a lot of our policy is based on a situation that occurred in the past 5 years. A very public mental illness happened with a coworker that unfortunately ended negatively. It was definitely a catalyst to talking about our options but the overall sentiment of it being OK to take time off talk with your supervisors etc. has always been there. It's a great company.,No
M341,35,Male,United States,MI,No,No,Yes,NA,26-100,No,No,Don't know,Not sure,No,Don't know,Don't know,Don't know,No,Yes,Yes,No,No,No,No,NA,No
M342,33,f,United States,WA,No,Yes,Yes,Sometimes,26-100,Yes,Yes,No,Yes,No,No,Don't know,Very difficult,Maybe,Some of them,Some of them,No,Maybe,No,No,NA,Yes
M343,27,Male,United States,CA,No,Yes,Yes,Sometimes,More than 1000,No,No,Don't know,Not sure,Don't know,Don't know,Don't know,Very easy,No,No,No,No,Maybe,No,No,Regardless of a stated lack of negative consequences for discussing mental health issues with coworkers/superiors unconscious bias is a very real thing - as long as I don't *need* to inform my co-workers my mental health issues do not need to be public knowledge.,Yes
M344,36,Male,United States,IA,No,Yes,No,NA,More than 1000,No,No,Don't know,Not sure,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,No,Don't know,No,NA,Yes
M345,33,Male,United Kingdom,NA,No,No,No,Rarely,01-May,Yes,No,Don't know,No,No,No,Don't know,Don't know,Maybe,No,No,No,Maybe,No,No,NA,Yes
M346,25,F,United States,WA,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,No,Yes,Don't know,No,Some of them,Yes,No,No,Don't know,No,NA,Yes
M347,23,Male,United States,AL,No,Yes,Yes,Sometimes,100-500,No,No,Don't know,No,No,No,Don't know,Don't know,No,Yes,Yes,Maybe,Yes,Don't know,No,YOU MAY WANT TO THROW OUT MY ENTRY.I answered all of these questions with the assumption that Attention Deficit Disorder is considered a mental illness and with ADD in mind.,Yes
M348,54,M,United States,CA,No,Yes,Yes,Never,More than 1000,No,Yes,Don't know,No,Yes,Yes,Don't know,Don't know,No,No,Yes,No,No,Don't know,No,NA,Yes
M349,22,Male,United States,CA,No,No,No,Sometimes,More than 1000,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,Some of them,No,No,Maybe,Don't know,No,NA,Yes
M350,25,non-binary,United States,CA,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,No,Yes,No,NA,Yes
M351,29,Male,Belgium,NA,No,Yes,No,Often,Jun-25,No,No,Don't know,No,No,No,Don't know,Don't know,No,Yes,Yes,Maybe,Maybe,Don't know,No,In Belgium we have all medical care so perhaps some question are not relevant,Yes
M352,27,Male,United States,MA,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Yes,Don't know,No,No,No,No,Yes,Yes,No,NA,Yes
M353,30,Male,United Kingdom,NA,No,No,No,Never,Jun-25,No,Yes,No,No,No,Don't know,Don't know,Very easy,No,Some of them,Yes,No,Maybe,Yes,No,A co-worker recently had mental health issues and my employer was very reasonable with them I don't know the full story but I do know that he was given ample time off and eased back in to the work place.,Yes
M354,26,male,United States,CA,No,Yes,Yes,Often,More than 1000,No,Yes,Yes,Not sure,Don't know,Yes,Don't know,Don't know,No,Some of them,No,No,No,Don't know,No,NA,Yes
M355,25,Female,Sweden,NA,No,Yes,No,Sometimes,Jun-25,No,Yes,Yes,Yes,Yes,No,Don't know,Somewhat easy,No,Some of them,Yes,No,No,No,No,NA,No
M356,31,Male,United States,CA,No,No,Yes,Sometimes,500-1000,No,No,No,Yes,No,Don't know,Yes,Don't know,No,Some of them,No,No,No,No,No,NA,No
M357,33,M,United States,IN,No,Yes,Yes,Sometimes,26-100,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,Some of them,Some of them,No,No,Don't know,No,NA,No
M358,34,M,United States,WA,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Don't know,Yes,Yes,Don't know,Maybe,No,No,No,No,Don't know,No,NA,No
M359,34,Male,United States,WA,No,No,Yes,Sometimes,100-500,Yes,Yes,No,No,No,No,Don't know,Somewhat easy,Yes,Some of them,Some of them,No,Maybe,Don't know,No,NA,Yes
M360,29,M,United States,IN,Yes,No,No,NA,01-May,Yes,Yes,No,Yes,No,No,Yes,Very easy,No,Yes,Yes,Maybe,Maybe,Yes,No,NA,Yes
M361,33,Femake,United States,WA,No,No,No,NA,Jun-25,No,Yes,No,No,No,No,Don't know,Somewhat difficult,No,Some of them,Some of them,No,No,Don't know,No,NA,Yes
M362,34,male,Germany,NA,Yes,Yes,Yes,Rarely,26-100,Yes,Yes,No,No,No,Don't know,Don't know,Somewhat difficult,No,Yes,Yes,No,Maybe,Yes,No,NA,Yes
M363,26,male,United States,OK,Yes,Yes,Yes,Rarely,100-500,Yes,No,No,No,No,Don't know,No,Don't know,No,Some of them,Yes,No,Yes,No,No,NA,Yes
M364,32,Male,United States,MI,No,Yes,Yes,Rarely,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Don't know,No,Some of them,Yes,No,Yes,Yes,No,NA,Yes
M365,329,Male,United States,OH,No,No,Yes,Often,Jun-25,Yes,Yes,Yes,Yes,No,No,Don't know,Don't know,No,Some of them,No,No,No,No,No,NA,Yes
M366,28,Male,United States,GA,No,Yes,Yes,Sometimes,More than 1000,No,No,Don't know,Not sure,No,Don't know,Don't know,Somewhat difficult,Maybe,No,No,No,No,No,No,NA,Yes
M367,35,Male,United States,CA,No,Yes,No,NA,More than 1000,No,No,Yes,No,Yes,Yes,Yes,Very easy,No,Some of them,Yes,No,No,Don't know,No,NA,No
M368,36,Male,United States,NA,No,Yes,Yes,Often,100-500,No,Yes,No,Yes,No,No,Yes,Very easy,No,Some of them,Some of them,No,No,Don't know,No,NA,No
M369,21,Male,United States,IN,No,Yes,Yes,Rarely,100-500,No,Yes,Yes,No,No,Don't know,Yes,Don't know,No,Yes,Yes,Maybe,Maybe,Don't know,No,NA,No
M370,21,Male,United Kingdom,NA,No,No,Yes,Sometimes,Jun-25,No,No,Don't know,Not sure,No,No,No,Very easy,No,Some of them,No,No,Maybe,No,No,NA,Yes
M371,22,F,United States,WA,No,No,No,NA,More than 1000,No,Yes,Yes,No,Yes,Yes,Yes,Somewhat easy,No,No,Some of them,No,No,Yes,No,NA,Yes
M372,41,m,United States,WA,No,Yes,Yes,Often,More than 1000,No,Yes,Yes,No,Yes,Yes,Don't know,Somewhat difficult,No,Yes,Some of them,No,Maybe,No,Yes,NA,Yes
M373,55,M,United States,PA,No,Yes,Yes,Rarely,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Very easy,No,Yes,Yes,No,No,Yes,No,My refer to the mental health issue of depression.  I might answer differently if I was talking about a more serious issue like schizophrenia,No
M374,32,F,United States,WA,No,No,Yes,Sometimes,26-100,No,No,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,Some of them,Yes,No,Maybe,Yes,No,My employer does what they can providing a wellness program and pointing it out after particularly stressful times. But the interaction between the wellness program and the medical insurance is unpleasant and finding a long-term therapist / psychiatrist covered by insurance is amazingly difficult. My current lack of active treatment is due to insurance friction more than workplace friction.,No
M375,21,F,United States,CA,No,Yes,Yes,Rarely,26-100,No,No,Don't know,Not sure,Don't know,No,Don't know,Somewhat easy,No,Some of them,No,No,Yes,Don't know,No,NA,Yes
M376,45,M,United States,MA,No,No,Yes,Never,26-100,Yes,No,Yes,Yes,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,No,Maybe,Don't know,No,NA,Yes
M377,27,female,United States,WA,No,No,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,No,No,Yes,Don't know,Maybe,No,No,No,No,No,No,NA,Yes
M378,25,Female,United States,WA,No,Yes,Yes,Sometimes,26-100,Yes,Yes,Don't know,No,No,No,Don't know,Don't know,No,Some of them,Yes,No,No,Yes,No,NA,Yes
M379,34,woman,United States,NY,No,Yes,Yes,Rarely,More than 1000,No,No,Yes,Yes,Yes,Yes,Yes,Very difficult,Maybe,Some of them,Some of them,No,No,Yes,No,I work for a university.,Yes
M380,26,F,United States,CA,No,Yes,Yes,Never,More than 1000,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,No,No,No,No,No,Don't know,No,NA,Yes
M381,41,Male,Canada,NA,No,No,Yes,Never,500-1000,No,Yes,Yes,Not sure,No,Don't know,Don't know,Somewhat easy,No,Some of them,Some of them,No,No,Don't know,No,NA,No
M382,27,Male,United States,CA,No,No,Yes,Rarely,More than 1000,No,Yes,Yes,No,Yes,Yes,Yes,Don't know,No,Some of them,Yes,No,Maybe,Yes,No,NA,No
M383,31,Make,United States,IN,No,Yes,Yes,Sometimes,26-100,Yes,No,Yes,No,No,No,Don't know,Don't know,No,Yes,Yes,No,No,Don't know,No,NA,No
M384,25,Male,Germany,NA,No,Yes,Yes,Often,26-100,Yes,No,No,No,No,No,Yes,Somewhat easy,No,Yes,Yes,No,Yes,No,No,NA,No
M385,26,M,United States,NV,No,No,Yes,Sometimes,Jun-25,No,No,Don't know,No,No,No,Don't know,Don't know,Yes,Some of them,No,No,No,No,No,NA,Yes
M386,27,female,United States,CO,No,Yes,Yes,Rarely,More than 1000,Yes,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Maybe,No,Yes,No,No,Don't know,No,NA,Yes
M387,42,Male,New Zealand,NA,No,No,No,Never,500-1000,No,Yes,Don't know,Not sure,No,No,Don't know,Don't know,No,Some of them,Yes,Maybe,Maybe,Don't know,No,NA,No
M388,29,Nah,United States,CA,Yes,Yes,Yes,Sometimes,01-May,Yes,No,Yes,Yes,No,No,Don't know,Very difficult,No,Some of them,No,No,Maybe,No,No,NA,Yes
M389,25,female,United States,CA,No,No,Yes,Sometimes,Jun-25,No,No,Don't know,Not sure,No,No,Don't know,Somewhat difficult,No,Some of them,No,No,Maybe,Don't know,No,NA,Yes
M390,33,Female,Sweden,NA,No,Yes,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,No,Yes,Yes,Don't know,No,Some of them,No,No,Yes,Don't know,No,NA,Yes
M391,99999999999,All,Zimbabwe,NA,Yes,Yes,Yes,Often,01-May,No,Yes,No,Yes,No,No,No,Very difficult,Yes,No,No,Yes,No,No,Yes,NA,Yes
M392,40,female,United States,PA,No,Yes,Yes,Rarely,More than 1000,No,No,Yes,No,Don't know,Don't know,Don't know,Somewhat easy,Maybe,No,No,No,No,Don't know,No,NA,Yes
M393,31,Male,United States,SC,No,No,No,Never,More than 1000,No,Yes,Don't know,No,No,Don't know,Don't know,Somewhat easy,No,Some of them,No,No,No,Don't know,No,NA,Yes
M394,26,Male,Canada,NA,No,Yes,Yes,Often,26-100,Yes,Yes,Don't know,No,Don't know,Don't know,Don't know,Very easy,No,Yes,Yes,No,No,Yes,No,NA,No
M395,24,female,United States,TX,No,Yes,Yes,NA,500-1000,No,No,No,No,No,No,No,Very difficult,Maybe,No,No,No,Maybe,No,Yes,NA,Yes
M396,29,Male,United States,TX,No,Yes,Yes,Never,More than 1000,No,No,Yes,Not sure,No,Don't know,Don't know,Don't know,No,Some of them,Some of them,No,No,Don't know,No,NA,Yes
M397,48,M,United Kingdom,NA,No,Yes,Yes,NA,26-100,No,Yes,Don't know,No,No,No,Don't know,Don't know,Maybe,No,No,No,No,No,No,NA,Yes
M398,35,Male,United Kingdom,NA,No,Yes,Yes,Sometimes,Jun-25,No,Yes,No,No,No,No,Don't know,Very difficult,Maybe,Some of them,Yes,No,Maybe,No,Yes,NA,Yes
M399,32,female,United States,AL,No,No,No,Never,100-500,No,No,Don't know,Not sure,No,No,Don't know,Don't know,No,No,Some of them,No,Maybe,Don't know,No,NA,Yes
M400,29,Male,Canada,NA,No,No,Yes,Sometimes,100-500,No,No,Don't know,Not sure,Don't know,Don't know,Yes,Somewhat easy,No,Some of them,Some of them,No,Maybe,Yes,No,Being in Canada there are several health options that are available to Canadian citizens/perm residents for free so employers may not provide resources because they are available elsewhere. Otherwise good quiz. I hope this benefits everyone who's dealt with mental health issues in the past!,Yes
M401,26,Male,United States,OR,No,Yes,Yes,Often,Jun-25,No,No,Yes,Yes,No,No,Don't know,Somewhat difficult,No,Some of them,Yes,No,No,No,No,NA,Yes
M402,28,Male,United States,NJ,No,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,Don't know,Don't know,No,Some of them,No,No,Maybe,No,No,NA,Yes
M403,23,male,United States,CA,No,No,No,NA,More than 1000,No,No,Don't know,No,No,Don't know,Don't know,Don't know,No,Some of them,Yes,No,Maybe,No,No,NA,No
